"Gender","Family","Height","Father","Mother","adjHeight","midParent"
"female",46,65.5,71,64,68.1486945337621,67.5
"female",46,65,71,64,67.6086945337621,67.5
"male",47,72,71.7,64.5,69.4086945337621,68.1
"male",47,71,71.7,64.5,68.4086945337621,68.1
"male",47,70.5,71.7,64.5,67.9086945337621,68.1
"female",47,67,71.7,64.5,69.7686945337621,68.1
"male",48,68,71,64,65.4086945337621,67.5
"male",48,68,71,64,65.4086945337621,67.5
"male",48,68,71,64,65.4086945337621,67.5
"male",49,72,71.5,64.5,69.4086945337621,68
"male",49,71,71.5,64.5,68.4086945337621,68
"male",49,70,71.5,64.5,67.4086945337621,68
"female",49,66,71.5,64.5,68.6886945337621,68
"female",49,64.5,71.5,64.5,67.0686945337621,68
"female",49,64.5,71.5,64.5,67.0686945337621,68
"female",49,62,71.5,64.5,64.3686945337621,68
"male",50,73,71,64.5,70.4086945337621,67.75
"female",50,62,71,64.5,64.3686945337621,67.75
"female",51,67.5,71.2,63,70.3086945337621,67.1
"female",51,64.5,71.2,63,67.0686945337621,67.1
"male",52,71,71,63.5,68.4086945337621,67.25
"male",52,67,71,63.5,64.4086945337621,67.25
"female",52,66,71,63.5,68.6886945337621,67.25
"female",52,65,71,63.5,67.6086945337621,67.25
"female",52,63.5,71,63.5,65.9886945337621,67.25
"male",53,71,71,63,68.4086945337621,67
"male",53,70,71,63,67.4086945337621,67
"male",53,70,71,63,67.4086945337621,67
"male",53,64,71,63,61.4086945337621,67
"female",53,65,71,63,67.6086945337621,67
"female",53,65,71,63,67.6086945337621,67
"female",53,64,71,63,66.5286945337621,67
"female",53,63,71,63,65.4486945337621,67
"female",53,63,71,63,65.4486945337621,67
"male",54,71,71,63,68.4086945337621,67
"male",54,71,71,63,68.4086945337621,67
"male",54,70,71,63,67.4086945337621,67
"female",54,63.5,71,63,65.9886945337621,67
"male",55,71,71,62,68.4086945337621,66.5
"male",55,70,71,62,67.4086945337621,66.5
"female",55,64.5,71,62,67.0686945337621,66.5
"female",55,62.5,71,62,64.9086945337621,66.5
"female",55,61.5,71,62,63.8286945337621,66.5
"male",56,72,71,62,69.4086945337621,66.5
"male",56,70.5,71,62,67.9086945337621,66.5
"male",56,70.5,71,62,67.9086945337621,66.5
"female",56,64.5,71,62,67.0686945337621,66.5
"female",56,60,71,62,62.2086945337621,66.5
"male",57,70,71,62.5,67.4086945337621,66.75
"female",57,64,71,62.5,66.5286945337621,66.75
"female",57,64,71,62.5,66.5286945337621,66.75
"female",57,64,71,62.5,66.5286945337621,66.75
"female",57,62.5,71,62.5,64.9086945337621,66.75
"male",58,70.5,71,62,67.9086945337621,66.5
"male",58,70,71,62,67.4086945337621,66.5
"male",58,69,71,62,66.4086945337621,66.5
"male",58,69,71,62,66.4086945337621,66.5
"male",58,66,71,62,63.4086945337621,66.5
"female",58,64.5,71,62,67.0686945337621,66.5
"female",58,64,71,62,66.5286945337621,66.5
"female",59,62,71,61,64.3686945337621,66
"male",60,71.5,71,58,68.9086945337621,64.5
"male",60,69,71,58,66.4086945337621,64.5
"male",61,71,70,69,68.4086945337621,69.5
"male",61,70,70,69,67.4086945337621,69.5
"male",61,69,70,69,66.4086945337621,69.5
"female",61,69,70,69,71.9286945337621,69.5
"male",62,70,70,69,67.4086945337621,69.5
"male",62,68.7,70,69,66.1086945337621,69.5
"female",62,68,70,69,70.8486945337621,69.5
"female",62,66,70,69,68.6886945337621,69.5
"female",62,64,70,69,66.5286945337621,69.5
"female",62,62,70,69,64.3686945337621,69.5
"male",63,75,70,68,72.4086945337621,69
"male",64,70,70,67,67.4086945337621,68.5
"male",64,69,70,67,66.4086945337621,68.5
"female",64,66,70,67,68.6886945337621,68.5
"female",64,64,70,67,66.5286945337621,68.5
"female",64,60,70,67,62.2086945337621,68.5
"female",65,67.5,70,67,70.3086945337621,68.5
"male",66,73,70,66.5,70.4086945337621,68.25
"male",66,72,70,66.5,69.4086945337621,68.25
"male",66,72,70,66.5,69.4086945337621,68.25
"male",66,66.5,70,66.5,63.9086945337621,68.25
"female",66,69.2,70,66.5,72.1446945337621,68.25
"female",66,67.2,70,66.5,69.9846945337621,68.25
"female",66,66.5,70,66.5,69.2286945337621,68.25
"female",66,66,70,66.5,68.6886945337621,68.25
"female",66,66,70,66.5,68.6886945337621,68.25
"female",66,64.2,70,66.5,66.7446945337621,68.25
"female",66,63.7,70,66.5,66.2046945337621,68.25
"male",67,72,70.5,65,69.4086945337621,67.75
"male",67,70.2,70.5,65,67.6086945337621,67.75
"male",67,69,70.5,65,66.4086945337621,67.75
"male",67,68.5,70.5,65,65.9086945337621,67.75
"female",68,68,70.5,65,70.8486945337621,67.75
"female",68,65,70.5,65,67.6086945337621,67.75
"female",68,61.5,70.5,65,63.8286945337621,67.75
"female",68,61,70.5,65,63.2886945337621,67.75
"female",68,61,70.5,65,63.2886945337621,67.75
"male",69,73,70,65,70.4086945337621,67.5
"male",69,72,70,65,69.4086945337621,67.5
"male",69,70.5,70,65,67.9086945337621,67.5
"male",69,65,70,65,62.4086945337621,67.5
"male",69,65,70,65,62.4086945337621,67.5
"female",69,64.5,70,65,67.0686945337621,67.5
"female",69,63,70,65,65.4486945337621,67.5
"female",69,62,70,65,64.3686945337621,67.5
"male",70,67,70,65,64.4086945337621,67.5
"male",70,65,70,65,62.4086945337621,67.5
"female",70,64.5,70,65,67.0686945337621,67.5
"female",70,62.5,70,65,64.9086945337621,67.5
"female",70,62.5,70,65,64.9086945337621,67.5
"male",71,70,70,65,67.4086945337621,67.5
"male",71,70,70,65,67.4086945337621,67.5
"female",71,67,70,65,69.7686945337621,67.5
"female",71,65,70,65,67.6086945337621,67.5
"female",71,65,70,65,67.6086945337621,67.5
"female",71,63,70,65,65.4486945337621,67.5
"male",72,79,70,65,76.4086945337621,67.5
"male",72,75,70,65,72.4086945337621,67.5
"male",72,71,70,65,68.4086945337621,67.5
"female",72,69,70,65,71.9286945337621,67.5
"female",72,67,70,65,69.7686945337621,67.5
"female",72,65.7,70,65,68.3646945337621,67.5
"female",72,62,70,65,64.3686945337621,67.5
"male",73,73,70,65,70.4086945337621,67.5
"male",73,72.5,70,65,69.9086945337621,67.5
"female",73,65,70,65,67.6086945337621,67.5
"male",74,69,70,65,66.4086945337621,67.5
"male",74,69,70,65,66.4086945337621,67.5
"male",75,72,70,64.7,69.4086945337621,67.35
"male",75,70,70,64.7,67.4086945337621,67.35
"male",75,68.7,70,64.7,66.1086945337621,67.35
"female",75,66.5,70,64.7,69.2286945337621,67.35
"female",75,65.5,70,64.7,68.1486945337621,67.35
"female",75,64.7,70,64.7,67.2846945337621,67.35
"female",75,64.5,70,64.7,67.0686945337621,67.35
"male",76,70.7,70,64,68.1086945337621,67
"male",76,70,70,64,67.4086945337621,67
"male",76,68,70,64,65.4086945337621,67
"male",76,67,70,64,64.4086945337621,67
"male",76,66,70,64,63.4086945337621,67
"male",76,65,70,64,62.4086945337621,67
"female",76,67,70,64,69.7686945337621,67
"male",77,70,70,64,67.4086945337621,67
"male",77,68,70,64,65.4086945337621,67
"male",77,66.7,70,64,64.1086945337621,67
"female",77,65.5,70,64,68.1486945337621,67
"male",78,72,70,64.2,69.4086945337621,67.1
"male",78,70,70,64.2,67.4086945337621,67.1
"female",78,62.5,70,64.2,64.9086945337621,67.1
"female",78,61.2,70,64.2,63.5046945337621,67.1
"female",78,60.1,70,64.2,62.3166945337621,67.1
"male",79,74,70.5,64,71.4086945337621,67.25
"male",79,69.5,70.5,64,66.9086945337621,67.25
"male",79,69,70.5,64,66.4086945337621,67.25
"male",79,68,70.5,64,65.4086945337621,67.25
"male",79,68,70.5,64,65.4086945337621,67.25
"male",79,68,70.5,64,65.4086945337621,67.25
"female",79,65.5,70.5,64,68.1486945337621,67.25
"female",79,65,70.5,64,67.6086945337621,67.25
"female",80,60,70.5,64.5,62.2086945337621,67.5
"male",81,68,70,64,65.4086945337621,67
"female",81,65,70,64,67.6086945337621,67
"female",81,64,70,64,66.5286945337621,67
"female",81,62,70,64,64.3686945337621,67
"male",82,71,70,64,68.4086945337621,67
"male",82,70,70,64,67.4086945337621,67
"male",82,70,70,64,67.4086945337621,67
"male",82,70,70,64,67.4086945337621,67
"male",82,69.5,70,64,66.9086945337621,67
"male",82,68.5,70,64,65.9086945337621,67
"female",82,69,70,64,71.9286945337621,67
"female",82,65,70,64,67.6086945337621,67
"female",82,64,70,64,66.5286945337621,67
"male",83,70,70,63.7,67.4086945337621,66.85
"male",83,67,70,63.7,64.4086945337621,66.85
"male",83,65.5,70,63.7,62.9086945337621,66.85
"female",83,63.7,70,63.7,66.2046945337621,66.85
"female",83,63.2,70,63.7,65.6646945337621,66.85
"female",83,62.5,70,63.7,64.9086945337621,66.85
"female",83,62.2,70,63.7,64.5846945337621,66.85
"female",83,61,70,63.7,63.2886945337621,66.85
"male",84,70,70.5,63,67.4086945337621,66.75
"male",84,68.5,70.5,63,65.9086945337621,66.75
"female",84,65.5,70.5,63,68.1486945337621,66.75
"female",84,63.5,70.5,63,65.9886945337621,66.75
"male",85,72.5,70.5,63,69.9086945337621,66.75
"male",85,69,70.5,63,66.4086945337621,66.75
"male",85,67,70.5,63,64.4086945337621,66.75
"female",85,64.5,70.5,63,67.0686945337621,66.75
"female",85,64,70.5,63,66.5286945337621,66.75
"male",86,71,70,63.5,68.4086945337621,66.75
"male",86,67.5,70,63.5,64.9086945337621,66.75
"female",86,67.5,70,63.5,70.3086945337621,66.75
"female",86,63.5,70,63.5,65.9886945337621,66.75
"male",87,68,70,63,65.4086945337621,66.5
"male",87,67,70,63,64.4086945337621,66.5
"female",87,63.7,70,63,66.2046945337621,66.5
"female",87,62,70,63,64.3686945337621,66.5
"male",88,70,70,63,67.4086945337621,66.5
"male",88,66.5,70,63,63.9086945337621,66.5
"female",88,62,70,63,64.3686945337621,66.5
"female",88,61,70,63,63.2886945337621,66.5
"male",89,72,70.5,62,69.4086945337621,66.25
"male",89,70,70.5,62,67.4086945337621,66.25
"male",89,69.5,70.5,62,66.9086945337621,66.25
"male",89,69.5,70.5,62,66.9086945337621,66.25
"male",89,68,70.5,62,65.4086945337621,66.25
"female",89,65,70.5,62,67.6086945337621,66.25
"female",89,64,70.5,62,66.5286945337621,66.25
"female",89,63,70.5,62,65.4486945337621,66.25
"male",90,70.7,70.3,62.7,68.1086945337621,66.5
"male",90,69.7,70.3,62.7,67.1086945337621,66.5
"male",90,69.2,70.3,62.7,66.6086945337621,66.5
"male",90,65.2,70.3,62.7,62.6086945337621,66.5
"female",90,64,70.3,62.7,66.5286945337621,66.5
"female",90,63.5,70.3,62.7,65.9886945337621,66.5
"female",90,63.2,70.3,62.7,65.6646945337621,66.5
"male",91,72,70.5,62,69.4086945337621,66.25
"male",91,72,70.5,62,69.4086945337621,66.25
"female",91,60,70.5,62,62.2086945337621,66.25
"male",92,71.2,70,61,68.6086945337621,65.5
"male",92,67,70,61,64.4086945337621,65.5
"male",93,67,70,60,64.4086945337621,65
"male",93,64.5,70,60,61.9086945337621,65
"female",93,65,70,60,67.6086945337621,65
"female",93,63,70,60,65.4486945337621,65
"female",94,65,70,60,67.6086945337621,65
"female",94,65,70,60,67.6086945337621,65
"male",95,71.5,70,58.5,68.9086945337621,64.25
"male",95,64.5,70,58.5,61.9086945337621,64.25
"female",95,63,70,58.5,65.4486945337621,64.25
"male",96,72,70,58,69.4086945337621,64
"male",96,66,70,58,63.4086945337621,64
"female",96,66,70,58,68.6886945337621,64
"female",96,65,70,58,67.6086945337621,64
"female",96,63,70,58,65.4486945337621,64
"male",97,75,69,68.5,72.4086945337621,68.75
"male",97,71,69,68.5,68.4086945337621,68.75
"male",97,70,69,68.5,67.4086945337621,68.75
"female",97,66,69,68.5,68.6886945337621,68.75
"female",97,66,69,68.5,68.6886945337621,68.75
"female",97,65.5,69,68.5,68.1486945337621,68.75
"female",97,65,69,68.5,67.6086945337621,68.75
"female",97,65,69,68.5,67.6086945337621,68.75
"female",97,64,69,68.5,66.5286945337621,68.75
"female",97,64,69,68.5,66.5286945337621,68.75
"female",98,64,69,67,66.5286945337621,68
"male",99,73,69,66,70.4086945337621,67.5
"male",99,72,69,66,69.4086945337621,67.5
"male",99,71.7,69,66,69.1086945337621,67.5
"male",99,71.5,69,66,68.9086945337621,67.5
"female",99,65.5,69,66,68.1486945337621,67.5
"female",99,65,69,66,67.6086945337621,67.5
"female",99,62.7,69,66,65.1246945337621,67.5
"female",99,62.5,69,66,64.9086945337621,67.5
"male",100,71.2,69,66,68.6086945337621,67.5
"male",100,71,69,66,68.4086945337621,67.5
"male",100,70,69,66,67.4086945337621,67.5
"male",101,75,69,66.7,72.4086945337621,67.85
"male",101,74,69,66.7,71.4086945337621,67.85
"male",101,72,69,66.7,69.4086945337621,67.85
"male",102,70,69,66,67.4086945337621,67.5
"male",102,68.5,69,66,65.9086945337621,67.5
"male",102,68,69,66,65.4086945337621,67.5
"female",102,65,69,66,67.6086945337621,67.5
"female",102,63,69,66,65.4486945337621,67.5
"female",102,62.5,69,66,64.9086945337621,67.5
"male",103,73,69,66.5,70.4086945337621,67.75
"male",103,71,69,66.5,68.4086945337621,67.75
"male",103,70.5,69,66.5,67.9086945337621,67.75
"male",103,70.5,69,66.5,67.9086945337621,67.75
"male",103,67,69,66.5,64.4086945337621,67.75
"male",103,66,69,66.5,63.4086945337621,67.75
"female",103,61,69,66.5,63.2886945337621,67.75
"male",104,70.5,69.5,66.5,67.9086945337621,68
"male",104,67.5,69.5,66.5,64.9086945337621,68
"female",104,64.5,69.5,66.5,67.0686945337621,68
"female",104,64,69.5,66.5,66.5286945337621,68
"male",105,71,69,66.5,68.4086945337621,67.75
"female",105,68.5,69,66.5,71.3886945337621,67.75
"female",105,67.5,69,66.5,70.3086945337621,67.75
"female",105,66,69,66.5,68.6886945337621,67.75
"female",105,63,69,66.5,65.4486945337621,67.75
"female",105,63,69,66.5,65.4486945337621,67.75
"male",106,71,69.5,66,68.4086945337621,67.75
"male",106,71,69.5,66,68.4086945337621,67.75
"male",106,70.5,69.5,66,67.9086945337621,67.75
"male",106,70.5,69.5,66,67.9086945337621,67.75
"female",106,66.5,69.5,66,69.2286945337621,67.75
"female",106,65.5,69.5,66,68.1486945337621,67.75
"female",106,64.5,69.5,66,67.0686945337621,67.75
"male",107,73,69,66,70.4086945337621,67.5
"male",107,72,69,66,69.4086945337621,67.5
"male",107,69,69,66,66.4086945337621,67.5
"male",107,69,69,66,66.4086945337621,67.5
"female",107,66.5,69,66,69.2286945337621,67.5
"female",107,65.5,69,66,68.1486945337621,67.5
"female",107,65.5,69,66,68.1486945337621,67.5
"female",107,65,69,66,67.6086945337621,67.5
"female",107,64,69,66,66.5286945337621,67.5
"male",108,70,69,65,67.4086945337621,67
"male",108,68.5,69,65,65.9086945337621,67
"male",108,67,69,65,64.4086945337621,67
"female",108,65,69,65,67.6086945337621,67
"female",108,64,69,65,66.5286945337621,67
"female",108,63.5,69,65,65.9886945337621,67
"female",108,61,69,65,63.2886945337621,67
"male",109,69.7,69.5,64.5,67.1086945337621,67
"male",109,68,69.5,64.5,65.4086945337621,67
"male",109,60,69.5,64.5,57.4086945337621,67
"female",109,65.2,69.5,64.5,67.8246945337621,67
"female",109,64.5,69.5,64.5,67.0686945337621,67
"female",109,63.7,69.5,64.5,66.2046945337621,67
"female",109,60,69.5,64.5,62.2086945337621,67
"male",110,71.7,69.2,64,69.1086945337621,66.6
"male",110,66.5,69.2,64,63.9086945337621,66.6
"female",110,65,69.2,64,67.6086945337621,66.6
"female",110,63.5,69.2,64,65.9886945337621,66.6
"female",111,65.5,69,63.5,68.1486945337621,66.25
"male",112,69,69,63,66.4086945337621,66
"female",112,67.5,69,63,70.3086945337621,66
"female",112,63.5,69,63,65.9886945337621,66
"male",113,72,69,63,69.4086945337621,66
"male",114,73,69,63,70.4086945337621,66
"male",114,70,69,63,67.4086945337621,66
"male",114,70,69,63,67.4086945337621,66
"male",114,64,69,63,61.4086945337621,66
"female",114,66,69,63,68.6886945337621,66
"female",114,62,69,63,64.3686945337621,66
"male",115,70.5,69,63.5,67.9086945337621,66.25
"male",115,67,69,63.5,64.4086945337621,66.25
"male",115,66,69,63.5,63.4086945337621,66.25
"female",115,65,69,63.5,67.6086945337621,66.25
"female",115,63,69,63.5,65.4486945337621,66.25
"female",115,62,69,63.5,64.3686945337621,66.25
"female",115,61,69,63.5,63.2886945337621,66.25
"male",116,70.5,69,63.5,67.9086945337621,66.25
"female",116,63.7,69,63.5,66.2046945337621,66.25
"female",116,63,69,63.5,65.4486945337621,66.25
"female",117,62.5,69.7,62,64.9086945337621,65.85
"male",118,73,69.5,62,70.4086945337621,65.75
"male",118,72,69.5,62,69.4086945337621,65.75
"male",118,69,69.5,62,66.4086945337621,65.75
"male",119,73,69,62,70.4086945337621,65.5
"male",119,71,69,62,68.4086945337621,65.5
"male",119,71,69,62,68.4086945337621,65.5
"male",119,69,69,62,66.4086945337621,65.5
"female",119,63,69,62,65.4486945337621,65.5
"male",120,72,69.5,62,69.4086945337621,65.75
"male",120,70,69.5,62,67.4086945337621,65.75
"male",120,67.8,69.5,62,65.2086945337621,65.75
"female",120,65.2,69.5,62,67.8246945337621,65.75
"female",120,64.7,69.5,62,67.2846945337621,65.75
"female",120,64.5,69.5,62,67.0686945337621,65.75
"female",120,63.5,69.5,62,65.9886945337621,65.75
"female",120,63.5,69.5,62,65.9886945337621,65.75
"female",120,62.5,69.5,62,64.9086945337621,65.75
"female",120,62,69.5,62,64.3686945337621,65.75
"female",120,61.5,69.5,62,63.8286945337621,65.75
"male",121,71,69,62.5,68.4086945337621,65.75
"male",121,70,69,62.5,67.4086945337621,65.75
"male",121,70,69,62.5,67.4086945337621,65.75
"male",121,69,69,62.5,66.4086945337621,65.75
"female",121,63.5,69,62.5,65.9886945337621,65.75
"female",121,62.5,69,62.5,64.9086945337621,65.75
"female",121,62.5,69,62.5,64.9086945337621,65.75
"female",121,62,69,62.5,64.3686945337621,65.75
"male",122,72,69,62,69.4086945337621,65.5
"male",122,68,69,62,65.4086945337621,65.5
"female",122,66,69,62,68.6886945337621,65.5
"female",122,66,69,62,68.6886945337621,65.5
"male",123,70,69.5,61,67.4086945337621,65.25
"male",123,69.5,69.5,61,66.9086945337621,65.25
"male",123,69,69.5,61,66.4086945337621,65.25
"female",123,63,69.5,61,65.4486945337621,65.25
"female",123,62,69.5,61,64.3686945337621,65.25
"male",124,68,69,61,65.4086945337621,65
"male",124,68,69,61,65.4086945337621,65
"male",124,67.5,69,61,64.9086945337621,65
"male",124,64,69,61,61.4086945337621,65
"male",124,63,69,61,60.4086945337621,65
"male",124,63,69,61,60.4086945337621,65
"female",124,63.5,69,61,65.9886945337621,65
"female",124,62,69,61,64.3686945337621,65
"female",124,62,69,61,64.3686945337621,65
"male",125,70.5,69,60,67.9086945337621,64.5
"female",125,68,69,60,70.8486945337621,64.5
"female",125,62.5,69,60,64.9086945337621,64.5
"male",126,69,69,60,66.4086945337621,64.5
"male",126,66,69,60,63.4086945337621,64.5
"female",126,61.7,69,60,64.0446945337621,64.5
"female",126,60.5,69,60,62.7486945337621,64.5
"male",127,69.5,69,60.5,66.9086945337621,64.75
"male",128,71,68.7,70.5,68.4086945337621,69.6
"female",128,61.7,68.7,70.5,64.0446945337621,69.6
"male",129,73,68.5,67,70.4086945337621,67.75
"male",129,71,68.5,67,68.4086945337621,67.75
"female",129,67,68.5,67,69.7686945337621,67.75
"male",130,70,68.5,66.5,67.4086945337621,67.5
